gage_id,most_downstream_wb,nexus_before_it,most_downstream_nexus,wbs_into_that_nexus
06131200,wb-1846383,nex-1846379,nex-1846379,"wb-1846387,wb-1846385,wb-1846378,wb-1846383"
02046000,wb-277737,nex-277738,nex-277738,"wb-277783,wb-277785,wb-277737,wb-277781"
14034500,wb-2994027,nex-2993949,nex-2993949,"wb-2993948,wb-2994027"
01196500,wb-12046,nex-12047,nex-12047,"wb-12069,wb-12094,wb-12068,wb-12046,wb-12097,wb-12096"
12323240,wb-3024370,nex-3024371,nex-3024371,"wb-3037795,wb-3024370,wb-3037790"
10324700,wb-2868566,nex-2868567,nex-2868567,"wb-2868566,wb-2868623,wb-2868622"
10258500,wb-3334738,nex-3334721,nex-3334721,"wb-3334740,wb-3334742,wb-3334745,wb-3334720,wb-3334738"
03324200,wb-829876,nex-829877,nex-829877,"wb-829943,wb-829941,wb-829876"
09498502,wb-2720544,nex-2720529,nex-2720529,"wb-2720570,wb-2720528,wb-2720544"
05531500,wb-1078896,nex-1078892,nex-1078892,"wb-1078891,wb-1078896"
05060500,wb-1501081,nex-1501067,nex-1501067,"wb-1501066,wb-1501081"
02388975,wb-494998,nex-494999,nex-494999,"wb-495351,wb-495350,wb-494998"
07144480,wb-2180769,nex-2180770,nex-2180770,"wb-2180769,wb-2180809"
06306200,wb-1837448,nex-1837372,nex-1837372,"wb-1837371,wb-1837448"
09404450,wb-2743324,nex-2743325,nex-2743325,"wb-2743420,wb-2743421,wb-2743418,wb-2743324,wb-2743415"
09480000,wb-2746019,nex-2746020,nex-2746020,"wb-2747299,wb-2747297,wb-2746019"
11173200,wb-3314986,nex-3314987,nex-3314987,"wb-3314986,wb-3315012,wb-3315011"
06265337,wb-1833801,nex-1833802,nex-1833802,"wb-1833801,wb-1833831,wb-1833833"
08142000,wb-2434108,nex-2434102,nex-2434102,"wb-2434108,wb-2434101"
07056515,wb-2197274,nex-2197275,nex-2197275,"wb-2197280,wb-2197274,wb-2197279"
03141870,wb-800832,nex-800826,nex-800826,"wb-800833,wb-800834,wb-800835,wb-800837,wb-800852,wb-800839,wb-800825,wb-800832"
06819185,wb-1556434,nex-1556267,nex-1556267,"wb-1556435,wb-1556266,wb-1556434"
07327447,wb-2144910,nex-2144911,nex-2144911,"wb-2144910,wb-2144979"
08082700,wb-2423850,nex-2423851,nex-2423851,"wb-2423850,wb-2423913"
01095375,wb-14011,nex-13996,nex-13996,"wb-14022,wb-14027,wb-14013,wb-13995,wb-14011"
09413900,wb-2742266,nex-2742121,nex-2742121,"wb-2742267,wb-2742268,wb-2742269,wb-2742270,wb-2742271,wb-2742120,wb-2742266"
11124500,wb-3337917,nex-3337918,nex-3337918,"wb-3337919,wb-3337917"
06404000,wb-1808923,nex-1808849,nex-1808849,"wb-1808848,wb-1808923"
08164800,wb-2438369,nex-2438358,nex-2438358,"wb-2438357,wb-2438369"
11101250,wb-3332913,nex-3332914,nex-3332914,"wb-3332913,wb-3332922"
06715000,wb-1570808,nex-1570809,nex-1570809,"wb-1570808,wb-1570902,wb-1570900,wb-1570899"
11181040,wb-3314765,nex-1000013583,nex-1000013583,wb-3314765
08048970,wb-2412003,nex-2412004,nex-2412004,"wb-2412003,wb-2412022"
02178400,wb-273746,nex-273747,nex-273747,wb-273746
02079640,wb-268182,nex-268183,nex-268183,"wb-268182,wb-268192,wb-268191"
07373000,wb-1321353,nex-1321347,nex-1321347,"wb-1321346,wb-1321353"
01379000,wb-105181,nex-105110,nex-105110,"wb-105183,wb-105109,wb-105181"
03400800,wb-831212,nex-831213,nex-831213,"wb-835244,wb-835240,wb-831212"
11073495,wb-3334151,nex-3334138,nex-3334138,"wb-3334151,wb-3334137"
11162570,wb-3327974,nex-3327975,nex-3327975,"wb-3327976,wb-3327974"
02335580,wb-482030,nex-482005,nex-482005,"wb-482004,wb-482030"
11070465,wb-3333679,nex-3333680,nex-3333680,wb-3333679
04232034,wb-674460,nex-674461,nex-674461,wb-674460
02130840,wb-249061,nex-249062,nex-249062,"wb-249200,wb-249061"
01160000,wb-17762,nex-17763,nex-17763,"wb-17773,wb-17762"
06803093,wb-1562479,nex-1562431,nex-1562431,"wb-1562430,wb-1562479"
09182400,wb-2624737,nex-2624738,nex-2624738,wb-2624737
11046100,wb-3332377,nex-3332378,nex-3332378,wb-3332377
08103900,wb-2420371,nex-2420372,nex-2420372,"wb-2420395,wb-2420394,wb-2420393,wb-2420392,wb-2420371,wb-2420391"
04087257,wb-659040,nex-659035,nex-659035,"wb-659034,wb-659040"
09306242,wb-2615735,nex-2615733,nex-2615733,"wb-2615742,wb-2615732,wb-2615735"
09484000,wb-2746660,nex-2746661,nex-2746661,"wb-2746669,wb-2746660,wb-2746665,wb-2746680,wb-2746679"
11447360,wb-3300875,nex-3300874,nex-3300874,"wb-3300875,wb-3300873"
11525670,wb-3315417,nex-3315418,nex-3315418,"wb-3316340,wb-3315417"
12323720,wb-3037865,nex-3037864,nex-3037864,"wb-3037863,wb-3037865"
04206043,wb-670851,nex-670852,nex-670852,wb-670851
11460750,wb-3318914,nex-3318897,nex-3318897,"wb-3318896,wb-3318914"
07126480,wb-2175926,nex-2175927,nex-2175927,"wb-2176735,wb-2175926"
01133000,wb-16828,nex-16823,nex-16823,"wb-16822,wb-16828"
01439800,wb-118827,nex-118828,nex-118828,"wb-118843,wb-118827,wb-118842"
12108500,wb-3057020,nex-3057021,nex-3057021,"wb-3057020,wb-3057137"
02266300,wb-411436,nex-411437,nex-411437,wb-411436
03271300,wb-817936,nex-817934,nex-817934,"wb-817937,wb-817933,wb-817936"
03293500,[None],[None],[None],[None]
